10 1723 5334
26 2964 6526
42 5333 8815
58 8777 12426
74 13333 17053
90 19045 22803
106 25803 29610
122 33683 37525
138 42667 46565
154 52746 56694
170 63971 67988
186 76296 80366
202 89706 93850
218 104204 108437
234 119802 124110
250 136563 140967
266 154413 158912
282 173323 177921
298 193393 198109
314 214562 219377
330 236820 241771
346 260173 265247
362 284680 289885
378 310219 315558
394 336908 342390
410 364730 370361
426 393593 399387
442 423640 429602
458 454726 460853
474 486939 493241
490 520251 526724
506 554716 561387
522 590231 601254
538 626879 642517
554 664621 685150
570 703486 729126
586 743417 769791
602 784506 811624
618 826692 854554
634 869915 898508
650 914316 943655
666 959824 989933
682 1006388 1037259
698 1054125 1085766
714 1102930 1135345
730 1152799 1197643
746 1203824 1249696
762 1255980 1302898
778 1309210 1357182
794 1363528 1412576
810 1418972 1469081
826 1475518 1526703
842 1533186 1585450
858 1591962 1645309
874 1651827 1706279
890 1712790 1768321
906 1774851 1831475
922 1838034 1895786
938 1902332 1961192
954 1967731 2027704
970 2034236 2095335
986 2101845 2164087
1002 2170546 2233926
1018 2240382 2304908
1034 2311309 2376985
1050 2383335 2450175
1066 2456483 2524461
1082 2530731 2599874
1098 2606100 2676436
1114 2682570 2754091
1130 2760152 2832870
1146 2838788 2912689
1162 2918557 2993668
1178 2999451 3075755
1194 3081433 3158947
1210 3164556 3243290
1226 3248751 3328694
1242 3334023 3415206
1258 3420452 3502869
1274 3508010 3591674
1290 3596623 3681539
1306 3686320 3772462
1322 3777195 3864598
1338 3869126 3957813
1354 3962142 4052090
1370 4056350 4147573
1386 4151588 4244092
1402 4247950 4341743
1418 4345460 4440563
1434 4443994 4540376
1450 4543714 4641404
1466 4644507 4743540
1482 4746426 4846771
1498 4849389 4951050
1514 4953504 5056477
1530 5058716 5163043
1546 5165066 5270735
1562 5272447 5386703
1578 5380962 5519374
1594 5490647 5630762
1610 5601394 5743163
1626 5713233 5856666
1642 5826156 5971278
1658 5940209 6087018
1674 6055443 6203954
1690 6171730 6321971
1706 6289051 6440951
1722 6407546 6561125
1738 6527169 6682502
1754 6654856 6811999
1770 6783690 6999087
1786 6906690 7152793
1802 7030847 7279452
1818 7156135 7407304
1834 7282490 7536180
1850 7409922 7666098
1866 7538460 7797161
1882 7668142 7929424
1898 7798977 8062817
1914 7930896 8197323
1930 8063845 8332760
1946 8197915 8469377
1962 8333139 8622850
1978 8469449 8777644
1994 8606868 8917933
2010 8745365 9059262
2026 8884958 9201667
2042 9025729 9345312
